rates_id,neighbourhood_id,year,month,price
2018917,17,2018,9,105
20181017,17,2018,10,105
20181117,17,2018,11,105
20181217,17,2018,12,105
2019117,17,2019,1,59
2019217,17,2019,2,59
2019317,17,2019,3,59
2019417,17,2019,4,59
2019517,17,2019,5,60
2019617,17,2019,6,64
2019717,17,2019,7,65
2019817,17,2019,8,65
2019917,17,2019,9,65
20191017,17,2019,10,65
20191117,17,2019,11,65
20191217,17,2019,12,65
2020117,17,2020,1,73
2020217,17,2020,2,74
2020317,17,2020,3,76
2020417,17,2020,4,78
2020517,17,2020,5,79
2020617,17,2020,6,80
2020717,17,2020,7,80
2020817,17,2020,8,80
2020917,17,2020,9,79
20201017,17,2020,10,78
20201117,17,2020,11,78
20201217,17,2020,12,78
2021117,17,2021,1,67
2021217,17,2021,2,67
2021317,17,2021,3,67
2021417,17,2021,4,67
2021517,17,2021,5,67
2021617,17,2021,6,67
2021717,17,2021,7,67
2021817,17,2021,8,67
2021917,17,2021,9,67
20211017,17,2021,10,67
20211117,17,2021,11,67
20211217,17,2021,12,67
2017118,18,2017,1,63
2017218,18,2017,2,68
2017318,18,2017,3,69
2018118,18,2018,1,40
2018218,18,2018,2,41
2018318,18,2018,3,41
2018418,18,2018,4,45
2018518,18,2018,5,44
2018618,18,2018,6,45
2018718,18,2018,7,62
2018818,18,2018,8,65
2018918,18,2018,9,65
20181018,18,2018,10,65
20181118,18,2018,11,65
20181218,18,2018,12,65
2019118,18,2019,1,70
2019218,18,2019,2,75
2019318,18,2019,3,83
2019418,18,2019,4,85
2019518,18,2019,5,87
2019618,18,2019,6,91
2019718,18,2019,7,96
2019818,18,2019,8,97
2019918,18,2019,9,97
20191018,18,2019,10,97
20191118,18,2019,11,97
20191218,18,2019,12,97
2020118,18,2020,1,83
2020218,18,2020,2,83
2020318,18,2020,3,88
2020418,18,2020,4,91
2020518,18,2020,5,91
2020618,18,2020,6,92
2020718,18,2020,7,92
2020818,18,2020,8,91
2020918,18,2020,9,91
20201018,18,2020,10,91
20201118,18,2020,11,92
20201218,18,2020,12,93
2021118,18,2021,1,84
2021218,18,2021,2,84
2021318,18,2021,3,84
2021418,18,2021,4,87
2021518,18,2021,5,92
2021618,18,2021,6,93
2021718,18,2021,7,94
2021818,18,2021,8,94
2021918,18,2021,9,93
20211018,18,2021,10,94
20211118,18,2021,11,94
20211218,18,2021,12,94
2018119,19,2018,1,43
2018219,19,2018,2,48
2018319,19,2018,3,42
2018419,19,2018,4,42
2018519,19,2018,5,42
2018619,19,2018,6,42
2018719,19,2018,7,42
2018819,19,2018,8,42
2018919,19,2018,9,42
20181019,19,2018,10,42
20181119,19,2018,11,42
20181219,19,2018,12,42
2019119,19,2019,1,37
2019219,19,2019,2,37
2019319,19,2019,3,37
2019419,19,2019,4,37
2019519,19,2019,5,37
2019619,19,2019,6,37
2019719,19,2019,7,37
2019819,19,2019,8,37
2019919,19,2019,9,37
20191019,19,2019,10,37
20191119,19,2019,11,37
20191219,19,2019,12,37
2020119,19,2020,1,53
2020219,19,2020,2,53
2020319,19,2020,3,53
2020419,19,2020,4,53
2020519,19,2020,5,53
2020619,19,2020,6,54
2020719,19,2020,7,54
2020819,19,2020,8,54
2020919,19,2020,9,54
20201019,19,2020,10,54
20201119,19,2020,11,54
20201219,19,2020,12,54
2021119,19,2021,1,43
2021219,19,2021,2,43
2021319,19,2021,3,43
2021419,19,2021,4,43
2021519,19,2021,5,43
2021619,19,2021,6,43
2021719,19,2021,7,43
2021819,19,2021,8,43
2021919,19,2021,9,43
20211019,19,2021,10,43
20211119,19,2021,11,43
20211219,19,2021,12,43
2017120,20,2017,1,59
2017220,20,2017,2,65
2017320,20,2017,3,65
2017420,20,2017,4,70
2017520,20,2017,5,70
2017620,20,2017,6,70
2017720,20,2017,7,65
2017820,20,2017,8,65
2017920,20,2017,9,65
20171020,20,2017,10,65
20171120,20,2017,11,65
20171220,20,2017,12,65
2018120,20,2018,1,58
2018220,20,2018,2,58
2018320,20,2018,3,58
2018420,20,2018,4,58
2018520,20,2018,5,61
2018620,20,2018,6,63
2018720,20,2018,7,64
2018820,20,2018,8,68
2018920,20,2018,9,66
20181020,20,2018,10,66
20181120,20,2018,11,66
20181220,20,2018,12,66
2019120,20,2019,1,73
2019220,20,2019,2,74
2019320,20,2019,3,75
2019420,20,2019,4,75
2019520,20,2019,5,75
2019620,20,2019,6,76
2019720,20,2019,7,79
2019820,20,2019,8,79
2019920,20,2019,9,78
20191020,20,2019,10,78
20191120,20,2019,11,79
20191220,20,2019,12,78
2020120,20,2020,1,82
2020220,20,2020,2,83
2020320,20,2020,3,83
2020420,20,2020,4,84
2020520,20,2020,5,84
2020620,20,2020,6,84
2020720,20,2020,7,84
2020820,20,2020,8,84
2020920,20,2020,9,84
20201020,20,2020,10,84
20201120,20,2020,11,84
20201220,20,2020,12,84
2021120,20,2021,1,84
2021220,20,2021,2,84
2021320,20,2021,3,84
2021420,20,2021,4,85
2021520,20,2021,5,85
2021620,20,2021,6,85
2021720,20,2021,7,85
2021820,20,2021,8,85
2021920,20,2021,9,85
20211020,20,2021,10,85
20211120,20,2021,11,85
20211220,20,2021,12,85
2017121,21,2017,1,59
2017221,21,2017,2,61
2017321,21,2017,3,61
2017421,21,2017,4,62
2017521,21,2017,5,64
2017621,21,2017,6,63
2017721,21,2017,7,61
2017821,21,2017,8,61
2017921,21,2017,9,61
20171021,21,2017,10,61
20171121,21,2017,11,61
20171221,21,2017,12,61
2018121,21,2018,1,81
2018221,21,2018,2,78
2018321,21,2018,3,81
2018421,21,2018,4,81
2018521,21,2018,5,81
2018621,21,2018,6,83
2018721,21,2018,7,85
2018821,21,2018,8,61
2018921,21,2018,9,61
20181021,21,2018,10,61
20181121,21,2018,11,63
20181221,21,2018,12,63
2019121,21,2019,1,99
2019221,21,2019,2,98
2019321,21,2019,3,98
2019421,21,2019,4,99
2019521,21,2019,5,101
2019621,21,2019,6,102
2019721,21,2019,7,101
2019821,21,2019,8,102
2019921,21,2019,9,102
20191021,21,2019,10,102
20191121,21,2019,11,102
20191221,21,2019,12,102
2020121,21,2020,1,96
2020221,21,2020,2,95
2020321,21,2020,3,96
2020421,21,2020,4,97
2020521,21,2020,5,99
2020621,21,2020,6,100
2020721,21,2020,7,100
2020821,21,2020,8,100
2020921,21,2020,9,100
20201021,21,2020,10,99
20201121,21,2020,11,99
20201221,21,2020,12,99
2021121,21,2021,1,100
2021221,21,2021,2,100
2021321,21,2021,3,100
2021421,21,2021,4,107
2021521,21,2021,5,107
2021621,21,2021,6,106
2021721,21,2021,7,107
2021821,21,2021,8,106
2021921,21,2021,9,106
20211021,21,2021,10,107
20211121,21,2021,11,107
20211221,21,2021,12,107
2017122,22,2017,1,65
2017222,22,2017,2,65
2017322,22,2017,3,65
2017422,22,2017,4,65
2017522,22,2017,5,65
2017622,22,2017,6,65
2017722,22,2017,7,65
2017822,22,2017,8,65
2017922,22,2017,9,65
20171022,22,2017,10,65
20171122,22,2017,11,65
20171222,22,2017,12,65
2018122,22,2018,1,53
2018222,22,2018,2,53
